Year,Location,Price,Rent
2015,Harare CBD,75000,550
2015,Harare East,95000,800
2015,Harare High Density,35000,350
2015,Harare North,210000,1200
2015,Harare South,80000,550
2015,Harare West,85000,650
2016,Harare CBD,70000,500
2016,Harare East,105000,700
2016,Harare High Density,34000,300
2016,Harare North,200000,1200
2016,Harare South,78000,500
2016,Harare West,75500,600
2017,Harare CBD,60000,500
2017,Harare East,125000,600
2017,Harare High Density,34000,300
2017,Harare North,180000,1000
2017,Harare South,85000,450
2017,Harare West,77500,600
2018,Harare CBD,65000,450
2018,Harare East,100000,600
2018,Harare High Density,33000,300
2018,Harare North,170000,1100
2018,Harare South,90000,400
2018,Harare West,70000,550
2019,Harare CBD,55000,400
2019,Harare East,85000,600
2019,Harare High Density,27000,200
2019,Harare North,195000,1000
2019,Harare South,70000,350
2019,Harare West,65000,500
2020,Harare CBD,50000,500
2020,Harare East,80000,550
2020,Harare High Density,28000,200
2020,Harare North,165000,1100
2020,Harare South,67000,400
2020,Harare West,65000,500
2021,Harare CBD,65000,500
2021,Harare East,110000,700
2021,Harare High Density,30000,250
2021,Harare North,190000,1300
2021,Harare South,70000,500
2021,Harare West,72000,600
2022,Harare CBD,70000,610
2022,Harare East,130000,800
2022,Harare High Density,30000,330
2022,Harare North,225000,1650
2022,Harare South,80000,600
2022,Harare West,78000,700
2023,Harare CBD,75000,650
2023,Harare East,150000,1200
2023,Harare High Density,30000,350
2023,Harare North,270000,1650
2023,Harare South,85000,600
2023,Harare West,85000,700
2024,Harare CBD,75000,650
2024,Harare East,150000,1200
2024,Harare High Density,35000,350
2024,Harare North,320000,1800
2024,Harare South,120000,600
2024,Harare West,105000,750
2025,Harare CBD,92500,700
2025,Harare East,202500,950
2025,Harare High Density,36000,373
2025,Harare North,350000,1500
2025,Harare South,120000,650
2025,Harare West,120000,750
