"indicator","province","sex","age","Unit","Date","Value"
"Population","Harare","Male","Total","","1992","309864"
"Population","Harare","Male","Total","","2002","947386"
"Population","Harare","Male","Total","","2012","1025596"
"Population","Harare","Male","Total","","2022","1159350"
"Population","Harare","Female","Total","","1992","311878"
"Population","Harare","Female","Total","","2002","948748"
"Population","Harare","Female","Total","","2012","1097536"
"Population","Harare","Female","Total","","2022","1267881"
"Population","Harare","Total","Total","","1992","621742"
"Population","Harare","Total","Total","","2002","1896134"
"Population","Harare","Total","Total","","2012","2123132"
"Population","Harare","Total","Total","","2022","2427231"
